Date,Event,Opponent,Map,Win Round,Lose Round,Result,Opponent Tier
23 ,Gamers,FranceLooking4Org,Ancient,16,7,W,3
23 ,Gamers,FranceLooking4Org,Anubis,16,10,W,3
23 ,Gamers,Bulgaria500,Overpass,19,16,W,3
23 ,Gamers,PortugalGTZ,Ancient,16,6,W,3
23 ,Gamers,EuropeSprout,Ancient,16,14,W,2
23 ,BLAST.tv Paris Major ,UnitedtheBreach,Vertigo,4,16,L,3
23 ,BLAST.tv Paris Major ,UnitedtheBreach,Overpass,8,16,L,3
23 ,BLAST.tv Paris Major ,UnitedtheBreach,Inferno,16,12,W,3
23 ,BLAST.tv Paris Major ,EuropeG2,Vertigo,16,13,W,1
23 ,BLAST.tv Paris Major ,EuropeG2,Ancient,16,11,W,1
23 ,BLAST.tv Paris Major ,EuropeG2,Inferno,16,19,L,1
23 ,BLAST.tv Paris Major ,EuropeGamerLegion,Overpass,11,16,L,2
23 ,BLAST.tv Paris Major ,UkraineMonte,Vertigo,17,19,L,3
23 ,BLAST.tv Paris Major ,EuropeNinjasinPyjamas,Nuke,16,11,W,1
23 ,IEM Rio ,EuropeOG,Vertigo,5,16,L,1
23 ,IEM Rio ,EuropeOG,Mirage,6,16,L,1
23 ,IEM Rio ,SouthAmerica9z,Ancient,16,12,W,3
23 ,IEM Rio ,SouthAmerica9z,Overpass,16,3,W,3
23 ,IEM Rio ,SouthAmerica9z,Nuke,9,16,L,3
23 ,IEM Rio ,BrazilFURIA,Ancient,15,19,L,1
23 ,BLAST.tv Paris Major ,UkraineB8,Ancient,16,13,W,3
23 ,BLAST.tv Paris Major ,UkraineB8,Nuke,11,16,L,3
23 ,BLAST.tv Paris Major ,UkraineB8,Vertigo,16,8,W,3
23 ,BLAST.tv Paris Major ,Russia1WIN,Overpass,16,12,W,3
23 ,BLAST.tv Paris Major ,UnitedKingdomViperio,Vertigo,22,20,W,3
23 ,IEM Dallas ,EuropeOG,Ancient,12,16,L,1
23 ,IEM Dallas ,EuropeOG,Vertigo,16,8,W,1
23 ,IEM Dallas ,EuropeOG,Mirage,6,16,L,1
23 ,IEM Dallas ,EuropeNinjasinPyjamas,Ancient,19,17,W,1
23 ,IEM Dallas ,EuropeNinjasinPyjamas,Overpass,10,16,L,1
23 ,IEM Dallas ,EuropeNinjasinPyjamas,Vertigo,16,14,W,1
23 ,IEM Dallas ,RussiaSpirit,Overpass,16,14,W,1
23 ,IEM Dallas ,RussiaSpirit,Vertigo,16,7,W,1
23 ,IEM Dallas ,SwedenGODSENT,Anubis,9,16,L,2
23 ,IEM Dallas ,SwedenGODSENT,Overpass,16,13,W,2
23 ,IEM Dallas ,SwedenGODSENT,Ancient,10,16,L,2
23 ,BLAST Premier Spring Showdown ,Poland9INE,Nuke,12,16,L,3
23 ,BLAST Premier Spring Showdown ,Poland9INE,Overpass,16,13,W,3
23 ,BLAST Premier Spring Showdown ,Poland9INE,Vertigo,6,16,L,3
23 ,ESL Pro League Season ,BrazilFURIA,Anubis,13,16,L,1
23 ,ESL Pro League Season ,BrazilFURIA,Ancient,13,16,L,1
23 ,CCT North Europe Series ,PolandLetuscook,Mirage,14,16,L,3
23 ,CCT North Europe Series ,PolandLetuscook,Vertigo,6,16,L,3
23 ,CCT North Europe Series ,PolandLetuscook,Nuke,19,15,W,3
23 ,ESL Pro League Season ,TurkeyEternalFire,Nuke,16,13,W,3
23 ,ESL Pro League Season ,TurkeyEternalFire,Overpass,19,15,W,3
23 ,ESL Pro League Season ,TurkeyEternalFire,Inferno,9,16,L,3
23 ,ESL Pro League Season ,MongoliaIHC,Nuke,16,5,W,3
23 ,ESL Pro League Season ,MongoliaIHC,Overpass,17,19,L,3
23 ,ESL Pro League Season ,MongoliaIHC,Inferno,16,9,W,3
23 ,ESL Pro League Season ,EuropeG2,Inferno,9,16,L,1
23 ,ESL Pro League Season ,EuropeG2,Nuke,16,4,W,1
23 ,ESL Pro League Season ,EuropeG2,Vertigo,8,16,L,1
23 ,ESL Pro League Season ,TurkeyEternalFire,Nuke,16,11,W,3
23 ,ESL Pro League Season ,TurkeyEternalFire,Overpass,16,11,W,3
23 ,ESL Pro League Season ,TurkeyEternalFire,Anubis,11,16,L,3
23 ,ESL Pro League Season ,RussiaOutsiders,Vertigo,12,16,L,3
23 ,ESL Pro League Season ,RussiaOutsiders,Inferno,14,16,L,3
23 ,ESL Pro League Season ,BrazilMIBR,Overpass,16,12,W,2
23 ,ESL Pro League Season ,BrazilMIBR,Ancient,16,7,W,2
23 ,IEM Katowice ,NorthAmericaComplexity,Overpass,3,16,L,2
23 ,IEM Katowice ,NorthAmericaComplexity,Vertigo,16,9,W,2
23 ,IEM Katowice ,NorthAmericaComplexity,Inferno,8,16,L,2
23 ,IEM Katowice ,EuropeVitality,Nuke,13,16,L,1
23 ,IEM Katowice ,EuropeVitality,Mirage,16,8,W,1
23 ,IEM Katowice ,EuropeVitality,Overpass,13,16,L,1
23 ,IEM Katowice ,RussiaOutsiders,Overpass,19,16,W,3
23 ,IEM Katowice ,RussiaOutsiders,Mirage,8,16,L,3
23 ,IEM Katowice ,RussiaOutsiders,Vertigo,16,12,W,3
23 ,IEM Katowice ,BrazilMIBR,Overpass,16,9,W,2
23 ,IEM Katowice ,BrazilMIBR,Vertigo,16,11,W,2
23 ,IEM Katowice ,EuropeOG,Inferno,8,16,L,1
23 ,IEM Katowice ,EuropeOG,Mirage,6,16,L,1
23 ,IEM Katowice ,EuropeOG,Overpass,16,11,W,1
23 ,IEM Katowice ,UnitedStatesEvilGeniuses,Inferno,16,8,W,2
22 ,Elisa Masters Espoo ,GermanyBIG,Overpass,16,5,W,3
22 ,Elisa Masters Espoo ,GermanyBIG,Vertigo,16,4,W,3
22 ,Elisa Masters Espoo ,DenmarkAstralis,Overpass,19,16,W,1
22 ,Elisa Masters Espoo ,DenmarkAstralis,Mirage,16,9,W,1
22 ,Elisa Masters Espoo ,KosovoBadEagles,Inferno,16,12,W,2
22 ,Elisa Masters Espoo ,PortugalSAW,Vertigo,22,20,W,2
22 ,Elisa Masters Espoo ,DenmarkAstralis,Overpass,16,7,W,1
22 ,Elisa Masters Espoo ,NorthAmericaComplexity,Nuke,6,16,L,2
22 ,Elisa Masters Espoo ,Bulgaria500,Overpass,16,11,W,3
22 ,IEM Rio Major ,RussiaOutsiders,Mirage,8,16,L,3
22 ,IEM Rio Major ,RussiaOutsiders,Inferno,11,16,L,3
22 ,IEM Rio Major ,GermanyBIG,Mirage,16,7,W,3
22 ,IEM Rio Major ,GermanyBIG,Overpass,16,14,W,3
22 ,IEM Rio Major ,EuropeENCE,Nuke,16,7,W,1
22 ,IEM Rio Major ,DenmarkHeroic,Mirage,2,16,L,1
22 ,IEM Rio Major ,SwedenNinjasinPyjamas,Inferno,16,13,W,1
22 ,IEM Rio Major ,SouthAmerica9z,Nuke,16,14,W,3
22 ,IEM Rio Major ,SouthAmerica9z,Mirage,16,11,W,3
22 ,IEM Rio Major ,RussiaOutsiders,Mirage,14,16,L,3
22 ,IEM Rio Major ,RussiaOutsiders,Overpass,1,16,L,3
22 ,IEM Rio Major ,EuropeMOUZ,Ancient,9,16,L,1
22 ,IEM Rio Major ,EuropeMOUZ,Inferno,16,9,W,1
22 ,IEM Rio Major ,EuropeMOUZ,Vertigo,8,16,L,1
22 ,IEM Rio Major ,EuropeOG,Mirage,16,13,W,1
22 ,IEM Rio Major ,RussiaCloud9,Inferno,19,17,W,1
22 ,IEM Road to Rio ,Russia1WIN,Ancient,16,9,W,3
22 ,IEM Road to Rio ,Russia1WIN,Overpass,16,5,W,3
22 ,IEM Road to Rio ,TurkeyEternalFire,Overpass,16,11,W,3
22 ,IEM Road to Rio ,TurkeyEternalFire,Vertigo,16,10,W,3
22 ,IEM Road to Rio ,UkraineB8,Ancient,9,16,L,3
22 ,IEM Road to Rio ,EuropeFaZe,Nuke,17,19,L,1
22 ,IEM Road to Rio ,RussiaAurora,Overpass,16,4,W,3
22 ,ESL Pro League Season ,UnitedStatesLiquid,Ancient,10,16,L,1
22 ,ESL Pro League Season ,UnitedStatesLiquid,Overpass,16,9,W,1
22 ,ESL Pro League Season ,UnitedStatesLiquid,Inferno,13,16,L,1
22 ,GAM,EuropeSangal,Ancient,12,16,L,3
22 ,GAM,EuropeSangal,Inferno,12,16,L,3
22 ,GAM,EuropeSangal,Vertigo,16,10,W,3
22 ,GAM,PolandPACT,Ancient,16,9,W,3
22 ,GAM,FranceLDLC,Nuke,10,16,L,3
22 ,GAM,EuropeGenk,Nuke,16,11,W,3
22 ,SteelSeries Nova Cup Western Europe Fall ,EstoniaSC,Vertigo,16,10,W,3
22 ,SteelSeries Nova Cup Western Europe Fall ,EstoniaSC,Ancient,16,8,W,3
22 ,SteelSeries Nova Cup Western Europe Fall ,EstoniaSC,Mirage,10,16,L,3
22 ,SteelSeries Nova Cup Western Europe Fall ,CzechRepublicECLOT,Vertigo,16,6,W,3
22 ,ESL Pro League Season ,EuropeEndpoint,Overpass,16,10,W,2
22 ,ESL Pro League Season ,EuropeEndpoint,Ancient,16,8,W,2
22 ,ESL Pro League Season ,RussiaSpirit,Mirage,16,9,W,1
22 ,ESL Pro League Season ,RussiaSpirit,Nuke,16,11,W,1
22 ,ESL Pro League Season ,EuropeVitality,Mirage,11,16,L,1
22 ,ESL Pro League Season ,EuropeVitality,Inferno,12,16,L,1
22 ,ESL Pro League Season ,EuropeVitality,Nuke,16,6,W,1
22 ,ESL Pro League Season ,UkraineNatusVincere,Inferno,7,16,L,1
22 ,ESL Pro League Season ,UkraineNatusVincere,Mirage,8,16,L,1
22 ,ESL Pro League Season ,UkraineNatusVincere,Ancient,16,14,W,1
22 ,ESL Pro League Season ,SwedenNinjasinPyjamas,Overpass,16,4,W,1
22 ,ESL Pro League Season ,SwedenNinjasinPyjamas,Ancient,16,4,W,1
22 ,IEM Road to Rio ,RussiaK23,Ancient,16,14,W,3
22 ,IEM Road to Rio ,EuropeMonte,Nuke,16,3,W,3
22 ,IEM Road to Rio ,FinlandHAVU,Nuke,28,26,W,2
22 ,IEM Road to Rio ,FinlandHAVU,Mirage,16,14,W,2
22 ,IEM Road to Rio ,PolandAGO,Ancient,16,3,W,3
22 ,IEM Road to Rio ,UkraineB8,Nuke,16,4,W,3
22 ,IEM Road to Rio ,FranceFalcons,Overpass,14,16,L,3
22 ,IEM Road to Rio ,EuropeEndpoint,Overpass,16,14,W,2
22 ,REPUBLEAGUE Season ,Europeex-MADLions,Ancient,8,16,L,3
22 ,REPUBLEAGUE Season ,Europeex-MADLions,Nuke,16,10,W,3
22 ,REPUBLEAGUE Season ,Europeex-MADLions,Mirage,16,19,L,3
22 ,REPUBLEAGUE Season ,KosovoBadEagles,Ancient,16,12,W,2
22 ,REPUBLEAGUE Season ,KosovoBadEagles,Nuke,16,8,W,2
22 ,REPUBLEAGUE Season ,PolandMOUZNXT,Nuke,16,14,W,1
22 ,REPUBLEAGUE Season ,PolandMOUZNXT,Inferno,16,11,W,1
22 ,REPUBLEAGUE Season ,PolandMOUZNXT,Mirage,10,16,L,1
22 ,REPUBLEAGUE Season ,CzechRepublicSINNERS,Overpass,16,11,W,2
22 ,REPUBLEAGUE Season ,CzechRepublicSINNERS,Vertigo,11,16,L,2
22 ,REPUBLEAGUE Season ,CzechRepublicSINNERS,Mirage,16,3,W,2
22 ,REPUBLEAGUE Season ,UnitedtheBreach,Mirage,16,7,W,3
22 ,REPUBLEAGUE Season ,UnitedtheBreach,Nuke,16,6,W,3
22 ,Pinnacle Cup Championship ,DenmarkHeroic,Overpass,13,16,L,1
22 ,Pinnacle Cup Championship ,DenmarkHeroic,Mirage,14,16,L,1
22 ,Pinnacle Cup Championship ,GermanyBIG,Vertigo,10,16,L,3
