Player,Diff,KD,Rating
FranceZywOo,+7150,1.39,1.27
Ukraines1mple,+9530,1.34,1.24
Russiash1ro,+6566,1.45,1.23
Russiadeko,+3320,1.36,1.20
UnitedKingdomsmooya,+4043,1.27,1.18
Malaysiakaze,+4509,1.30,1.18
Russiadegster,+3937,1.29,1.18
Brazilsaffee,+2116,1.27,1.17
TurkeyXANTARES,+6909,1.20,1.17
NewZealandsterling,+4242,1.30,1.17
Denmarkdevice,+7791,1.25,1.16
UkraineSENSEi,+3187,1.35,1.16
ChinaDANK1NG,+1897,1.25,1.16
Argentinatry,+1941,1.27,1.16
DenmarkblameF,+4483,1.26,1.16
BosniaandHerzegovinaNiKo,+5870,1.19,1.15
BrazilKSCERATO,+4218,1.28,1.15
IndonesiaBnTeT,+3809,1.21,1.14
SingaporeBenkai,+2046,1.20,1.14
ChinaJamYoung,+1594,1.22,1.14
UkraineWoro2k,+2303,1.22,1.14
Hungarytorzsi,+2181,1.23,1.14
Brazilzevy,+1567,1.23,1.14
Brazilcoldzera,+5601,1.22,1.13
PolandmhL,+2639,1.21,1.13
AustraliaTexta,+1738,1.16,1.13
RussiaJame,+5654,1.31,1.13
KoreaXigN,+2460,1.18,1.13
CzechRepublicforsyy,+1766,1.24,1.13
Slovakiafrozen,+4082,1.19,1.13
CzechRepublicoskar,+5332,1.20,1.13
Polandmantuu,+2349,1.20,1.12
RussiaEl1an,+4891,1.21,1.12
Mongoliask0R,+1232,1.16,1.12
RomaniaXELLOW,+3673,1.17,1.12
NewZealandSico,+3623,1.24,1.12
RussialiTTle,+1550,1.20,1.12
BosniaandHerzegovinahuNter-,+4427,1.16,1.12
Turkeywoxic,+4151,1.20,1.12
Estoniaropz,+4312,1.21,1.12
FrancekennyS,+6479,1.20,1.12
Uruguaydgt,+1989,1.22,1.12
HongKongFreeman,+2337,1.17,1.12
Bulgariah4rn,+2631,1.23,1.12
AustraliaINS,+2916,1.17,1.12
FinlandJamppi,+1408,1.16,1.12
UnitedStateswrath,+1239,1.13,1.12
Brazilyuurih,+3308,1.18,1.12
Swedennawwk,+4031,1.22,1.11
SpainSunPayus,+1633,1.23,1.11
ThailandPTC,+1408,1.18,1.11
BrazilkNgV-,+2672,1.17,1.11
Singaporesplashske,+1811,1.15,1.11
NewZealandchelleos,+1462,1.14,1.11
Russiazorte,+3429,1.21,1.11
SlovakiaGuardiaN,+4763,1.18,1.11
Russiaxsepower,+4793,1.23,1.11
MongoliaerkaSt,+2415,1.15,1.11
CanadaTwistzz,+4290,1.17,1.11
BrazilHEN1,+4714,1.24,1.11
SwedenFREDDyFROG,+3606,1.18,1.11
Bulgariadream3r,+4501,1.20,1.11
Brazilvsm,+1731,1.14,1.10
ThailandOlivia,+1565,1.15,1.10
Swedenf0rest,+5649,1.16,1.10
Denmarkmertz,+2627,1.16,1.10
FinlandottoNd,+2932,1.18,1.10
Russiamir,+2788,1.15,1.10
JordanBOROS,+823,1.08,1.10
RussiaAx1Le,+3029,1.17,1.10
CanadaWARDELL,+1648,1.17,1.10
Bulgariapoizon,+2872,1.15,1.10
UnitedStatesjunior,+1949,1.22,1.10
UnitedStatesswag,+1629,1.18,1.10
