Date,Team,Opponent,Map,Kill,Death,Diff,Rating,Round Lose,Round Win,Tier
13/4/23,TurkeyEternal Fire,RussiaAurora,anb,20,17,3,1.22,12,16,3
13/4/23,TurkeyEternal Fire,RussiaAurora,mrg,22,25,-3,1.05,19,15,3
12/04/23,TurkeyEternal Fire,RussiaCloud9,vtg,25,25,0,1.03,19,16,1
11/04/23,TurkeyEternal Fire,DenmarkAstralis,vtg,9,10,-1,1.05,7,16,1
11/04/23,TurkeyEternal Fire,EuropeNinjas in Pyjamas,mrg,17,20,-3,0.83,16,11,1
11/03/23,TurkeyEternal Fire,KosovoBad News Eagles,vtg,20,23,-3,1.09,16,12,2
11/03/23,TurkeyEternal Fire,SerbiaiNation,ovp,26,17,9,1.77,10,16,3
11/03/23,TurkeyEternal Fire,BulgariaVOYVODA,inf,25,20,5,1.33,16,13,3
26/2/23,TurkeyEternal Fire,Europefnatic,nuke,23,18,5,1.33,16,13,1
26/2/23,TurkeyEternal Fire,Europefnatic,ovp,35,21,14,1.59,19,15,1
26/2/23,TurkeyEternal Fire,Europefnatic,inf,14,16,-2,1,9,16,1
25/2/23,TurkeyEternal Fire,BrazilMIBR,vtg,22,12,10,1.37,11,16,2
25/2/23,TurkeyEternal Fire,BrazilMIBR,anb,18,14,4,1.29,10,16,2
24/2/23,TurkeyEternal Fire,Europefnatic,nuke,13,18,-5,0.73,16,11,1
24/2/23,TurkeyEternal Fire,Europefnatic,ovp,13,20,-7,0.86,16,11,1
24/2/23,TurkeyEternal Fire,Europefnatic,anb,15,15,0,0.95,11,16,1
23/2/23,TurkeyEternal Fire,United StatesEvil Geniuses,ovp,23,18,5,1.23,14,16,2
23/2/23,TurkeyEternal Fire,United StatesEvil Geniuses,anb,23,12,11,1.64,6,16,2
22/2/23,TurkeyEternal Fire,EuropeG2,nuke,21,20,1,1.08,16,14,1
22/2/23,TurkeyEternal Fire,EuropeG2,anb,19,18,1,1.04,16,9,1
19/2/23,TurkeyEternal Fire,KosovoBad News Eagles,vtg,21,28,-7,1.08,16,19,2
19/2/23,TurkeyEternal Fire,KosovoBad News Eagles,mrg,27,17,10,1.57,16,9,2
19/2/23,TurkeyEternal Fire,KosovoBad News Eagles,ovp,25,16,9,1.41,12,16,2
19/2/23,TurkeyEternal Fire,EuropeENCE,anb,15,21,-6,0.89,14,16,1
19/2/23,TurkeyEternal Fire,EuropeENCE,vtg,23,21,2,1.3,14,16,1
18/2/23,TurkeyEternal Fire,KosovoBad News Eagles,inf,17,17,0,1.3,16,12,2
18/2/23,TurkeyEternal Fire,KosovoBad News Eagles,anb,27,18,9,1.39,16,14,2
18/2/23,TurkeyEternal Fire,KosovoBad News Eagles,mrg,25,21,4,1.26,14,16,2
18/2/23,TurkeyEternal Fire,United KingdomInto the Breach,vtg,27,22,5,1.45,12,16,3
18/2/23,TurkeyEternal Fire,United KingdomInto the Breach,nuke,22,15,7,1.56,6,16,3
18/2/23,TurkeyEternal Fire,EuropeENCE,vtg,25,21,4,1.5,14,16,1
18/2/23,TurkeyEternal Fire,EuropeENCE,inf,19,17,2,1.17,9,16,1
17/2/23,TurkeyEternal Fire,FinlandHAVU,inf,14,15,-1,0.93,10,16,2
17/2/23,TurkeyEternal Fire,RussiaFORZE,nuke,23,16,7,1.44,10,16,2
17/2/23,TurkeyEternal Fire,RussiaFORZE,ovp,29,16,13,1.68,12,16,2
17/2/23,TurkeyEternal Fire,RussiaFORZE,anb,18,19,-1,1.09,16,6,2
17/2/23,TurkeyEternal Fire,PolandHONORIS,ovp,27,20,7,1.46,12,16,3
17/2/23,TurkeyEternal Fire,PolandHONORIS,nuke,16,13,3,1.16,10,16,3
16/2/23,TurkeyEternal Fire,Poland9INE,nuke,40,33,7,1.2,25,23,3
16/2/23,TurkeyEternal Fire,DenmarkCopenhagen Flames,nuke,19,19,0,1.24,11,16,3
16/2/23,TurkeyEternal Fire,KosovoBad News Eagles,inf,19,21,-2,0.97,16,14,2
15/2/23,TurkeyEternal Fire,FranceMixfits,anb,24,13,11,1.63,8,16,3
15/2/23,TurkeyEternal Fire,DenmarkECSTATIC,nuke,17,14,3,1.11,9,16,3
15/2/23,TurkeyEternal Fire,SwedenGODSENT,mrg,22,15,7,1.5,8,16,2
15/2/23,TurkeyEternal Fire,SwedenGODSENT,inf,43,19,24,1.71,17,19,2
14/2/23,TurkeyEternal Fire,Bulgaria500,mrg,17,17,0,0.95,16,6,3
14/2/23,TurkeyEternal Fire,Bulgaria500,nuke,15,20,-5,0.9,16,14,3
14/2/23,TurkeyEternal Fire,PolandSingularity,anb,26,21,5,1.27,12,16,3
31/1/23,TurkeyEternal Fire,BulgariaVOYVODA,ovp,25,19,6,1.23,16,14,3
31/1/23,TurkeyEternal Fire,SwedenLilmix,ovp,24,10,14,1.96,5,16,3
28/1/23,TurkeyEternal Fire,FranceHEET,vtg,9,17,-8,0.59,16,4,3
28/1/23,TurkeyEternal Fire,Czech RepublicSINNERS,nuke,28,15,13,1.48,13,16,2
28/1/23,TurkeyEternal Fire,BelarusWebsterz,anb,27,17,10,1.52,13,16,3
